,ADDRESS,ADDRESS,CITY,CITY,travel_time,URL,URL,LOCATION,LOCATION,travel_cost,travel_seconds,travel_minutes,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED
53,9411 Castlewood St,9411 Castlewood St,Oakland,Oakland,1 hour 14 mins,http://www.redfin.com/CA/Oakland/9411-Castlewood-St-94605/home/843944,http://www.redfin.com/CA/Oakland/9411-Castlewood-St-94605/home/843944,"37.7560687,-122.1527176",Castlewood,,4441,74.01666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905714,N,Y
54,252 Florida Ave,252 Florida Ave,SAN BRUNO,SAN BRUNO,56 mins,http://www.redfin.com/CA/San-Bruno/252-Florida-Ave-94066/home/642430,http://www.redfin.com/CA/San-Bruno/252-Florida-Ave-94066/home/642430,"37.6223473,-122.40884229999999",SAN BRUNO,$7.40,3382,56.36666666666667,Active,,,MLSListings,ML81793570,N,Y
55,3200 Guido St,3200 Guido St,Oakland,Oakland,1 hour 0 mins,http://www.redfin.com/CA/Oakland/3200-Guido-St-94602/home/542669,http://www.redfin.com/CA/Oakland/3200-Guido-St-94602/home/542669,"37.8041754,-122.19271909999999",Redwood Heights,,3585,59.75,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905687,Y,Y
56,3044 El Monte Ave,3044 El Monte Ave,Oakland,Oakland,1 hour 19 mins,http://www.redfin.com/CA/Oakland/3044-El-Monte-Ave-94605/home/1363379,http://www.redfin.com/CA/Oakland/3044-El-Monte-Ave-94605/home/1363379,"37.764511,-122.1589273",King Estates,,4755,79.25,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905685,Y,Y
57,2624 INYO Ave,2624 INYO Ave,Oakland,Oakland,51 mins,http://www.redfin.com/CA/Oakland/2624-Inyo-Ave-94601/home/22718575,http://www.redfin.com/CA/Oakland/2624-Inyo-Ave-94601/home/22718575,"37.792353000000006,-122.22661699999999",Meadowbrook,,3038,50.63333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905676,N,Y
58,19212 Center St,19212 Center St,Castro Valley,Castro Valley,1 hour 23 mins,http://www.redfin.com/CA/Castro-Valley/19212-Center-St-94546/home/2027911,http://www.redfin.com/CA/Castro-Valley/19212-Center-St-94546/home/2027911,"37.703281,-122.06041809999999",Castro Valley,,4975,82.91666666666667,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905555,N,Y
59,25849 Calaroga Ave,25849 Calaroga Ave,Hayward,Hayward,1 hour 21 mins,http://www.redfin.com/CA/Hayward/25849-Calaroga-Ave-94545/home/1391629,http://www.redfin.com/CA/Hayward/25849-Calaroga-Ave-94545/home/1391629,"37.6411096,-122.0993444",Southgate,,4872,81.2,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40904632,N,Y
60,3254 Arkansas St,3254 Arkansas St,Oakland,Oakland,53 mins,http://www.redfin.com/CA/Oakland/3254-Arkansas-St-94602/home/1040866,http://www.redfin.com/CA/Oakland/3254-Arkansas-St-94602/home/1040866,"37.794129299999994,-122.20659640000001",Lower Laurel,,3188,53.13333333333333,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905516,N,Y
61,1421 Richmond St,1421 Richmond St,El Cerrito,El Cerrito,55 mins,http://www.redfin.com/CA/El-Cerrito/1421-Richmond-St-94530/home/1138372,http://www.redfin.com/CA/El-Cerrito/1421-Richmond-St-94530/home/1138372,"37.9197244,-122.30944509999999",Contra Costa,$5.30,3316,55.266666666666666,Active,,,BAREIS,22009736,N,Y
62,5968 Marshall St,5968 Marshall St,Oakland,Oakland,50 mins,http://www.redfin.com/CA/Oakland/5968-Marshall-St-94608/home/570510,http://www.redfin.com/CA/Oakland/5968-Marshall-St-94608/home/570510,"37.843644899999994,-122.2846836",Golden Gate,,2975,49.583333333333336,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905487,N,Y
63,8715 Thermal St,8715 Thermal St,Oakland,Oakland,56 mins,http://www.redfin.com/CA/Oakland/8715-Thermal-St-94605/home/584608,http://www.redfin.com/CA/Oakland/8715-Thermal-St-94605/home/584608,"37.7579633,-122.1613223",Toler Heights,,3363,56.05,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905483,N,Y
64,1628 Acton St,1628 Acton St,Berkeley,Berkeley,38 mins,http://www.redfin.com/CA/Berkeley/1628-Acton-St-94702/home/869401,http://www.redfin.com/CA/Berkeley/1628-Acton-St-94702/home/869401,"37.874966,-122.2850048",N. Berkeley,$4.95,2255,37.583333333333336,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905467,N,Y
65,1740 Cottage Grove Ave,1740 Cottage Grove Ave,San Mateo,San Mateo,1 hour 29 mins,http://www.redfin.com/CA/San-Mateo/1740-Cottage-Grove-Ave-94401/home/2044164,http://www.redfin.com/CA/San-Mateo/1740-Cottage-Grove-Ave-94401/home/2044164,"37.5701096,-122.30187109999999",San Mateo,,5317,88.61666666666666,Active,,,San Francisco MLS,498477,N,Y
66,2488 Savannah Ct,2488 Savannah Ct,Oakland,Oakland,52 mins,http://www.redfin.com/CA/Oakland/2488-Savannah-Ct-94605/home/1968733,http://www.redfin.com/CA/Oakland/2488-Savannah-Ct-94605/home/1968733,"37.7543959,-122.161278",Alameda,,3141,52.35,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905418,N,Y
67,1475 Vía La Paloma,1475 Vía La Paloma,SAN LORENZO,SAN LORENZO,1 hour 21 mins,http://www.redfin.com/CA/San-Lorenzo/1475-Via-La-Paloma-94580/home/1876510,http://www.redfin.com/CA/San-Lorenzo/1475-Via-La-Paloma-94580/home/1876510,"37.674600500000004,-122.14051909999999",SAN LORENZO,,4840,80.66666666666667,Active,,,MLSListings,ML81793163,N,Y
68,9323 Burr St,9323 Burr St,Oakland,Oakland,57 mins,http://www.redfin.com/CA/Oakland/9323-Burr-St-94605/home/1881290,http://www.redfin.com/CA/Oakland/9323-Burr-St-94605/home/1881290,"37.7544283,-122.1578628",Toler Heights,,3406,56.766666666666666,Active,,,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905347,N,Y
