SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1920 Bandoni Ave,San Lorenzo,CA,94580,649000,3,2.0,Lorenzo Village,1218,5044,1955,4,533,10,Active,,,http://www.redfin.com/CA/San-Lorenzo/1920-Bandoni-Ave-94580/home/935289,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906239,N,Y,37.667191,-122.1432694
MLS Listing,,Single Family Residential,411 Elmwood Ln,Hayward,CA,94541,745000,3,2.0,Hayward,1702,5300,1950,4,438,,Active,,,http://www.redfin.com/CA/Hayward/411-Elmwood-Ln-94541/home/954733,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906236,N,Y,37.6632081,-122.1026283
MLS Listing,,Single Family Residential,1339 Hermosa Ave,PACIFICA,CA,94044,699000,3,2.0,PACIFICA,1490,5000,1954,4,469,,Active,,,http://www.redfin.com/CA/Pacifica/1339-Hermosa-Ave-94044/home/658347,MLSListings,ML81793417,N,Y,37.5892105,-122.4967617
MLS Listing,,Single Family Residential,692 Hutchings Dr,SAN LEANDRO,CA,94577,760000,4,2.0,SAN LEANDRO,1479,5000,1942,4,514,,Active,,,http://www.redfin.com/CA/San-Leandro/692-Hutchings-Dr-94577/home/1403077,MLSListings,ML81794139,N,Y,37.7243938,-122.1775984
MLS Listing,,Single Family Residential,15538 Lorenzo Ave,San Lorenzo,CA,94580,788000,3,2.5,San Lorenzo Vilg,1743,4225,1988,4,452,10,Active,,,http://www.redfin.com/CA/San-Lorenzo/15538-Lorenzo-Ave-94580/home/542301,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905188,N,Y,37.6840444,-122.1388491
MLS Listing,,Single Family Residential,1872 E St,Hayward,CA,94541,799000,3,2.0,Fairview,1506,8282,1962,4,531,,Active,,,http://www.redfin.com/CA/Hayward/1872-E-St-94541/home/1349477,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906179,N,Y,37.6747456,-122.0633481
MLS Listing,,Single Family Residential,4804 Seaview Ave,Castro Valley,CA,94546,819000,3,2.0,Upper Redwood,1246,6988,1951,4,657,,Active,,,http://www.redfin.com/CA/Castro-Valley/4804-Seaview-Ave-94546/home/1633213,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906178,N,Y,37.71408,-122.073299
MLS Listing,,Single Family Residential,2251 Sol St,San Leandro,CA,94578,729000,3,2.0,Hillcrest Crest,1260,7776,1971,4,579,,Active,,,http://www.redfin.com/CA/San-Leandro/2251-Sol-St-94578/home/793629,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906173,N,Y,37.712739,-122.1217972
MLS Listing,,Single Family Residential,47 Margrave Ct,Walnut Creek,CA,94597,899000,3,2.0,Walnut Creek,1131,8554,1954,4,795,,Active,,,http://www.redfin.com/CA/Walnut-Creek/47-Margrave-Ct-94597/home/852997,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905925,N,Y,37.9184834,-122.0753556
MLS Listing,,Single Family Residential,6825 Armour Dr,Oakland,CA,94611,899000,4,2.0,Montclair,2500,16600,1973,4,360,,Active,,,http://www.redfin.com/CA/Oakland/6825-Armour-Dr-94611/home/2014048,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906154,Y,Y,37.837223,-122.2037147
MLS Listing,,Single Family Residential,6509 Canyon Trl,El Cerrito,CA,94530,899000,3,2.0,El Cerrito,1688,5822,1956,5,533,,Active,,,http://www.redfin.com/CA/El-Cerrito/6509-Canyon-Trl-94530/home/1136172,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906056,N,Y,37.9315191,-122.3173507
MLS Listing,,Single Family Residential,840 34th Ave,Oakland,CA,94601,645000,5,2.0,Fruitvale,1641,3800,1900,5,393,,Active,,,http://www.redfin.com/CA/Oakland/840-34th-Ave-94601/home/1096551,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906046,N,Y,37.7732755,-122.2258355
MLS Listing,,Single Family Residential,31219 Fredi St,Union City,CA,94587,888000,4,2.5,Alameda County,1432,3890,1976,5,620,,Active,,,http://www.redfin.com/CA/Union-City/31219-Fredi-St-94587/home/1271561,BAREIS,22011452,N,Y,37.593124,-122.077933
MLS Listing,,Single Family Residential,2424 Kingsland Ave,Oakland,CA,94601,650000,3,2.0,Maxwell  Park,1362,2268,1920,5,477,,Active,,,http://www.redfin.com/CA/Oakland/2424-Kingsland-Ave-94601/home/1224168,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906016,N,Y,37.7739855,-122.1966209
MLS Listing,,Single Family Residential,353 S 24Th St,Richmond,CA,94804,435000,3,2.0,South Richmond,902,2825,1982,5,482,,Active,,,http://www.redfin.com/CA/Richmond/353-S-24th-St-94804/home/1520947,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906014,N,Y,37.9269935,-122.3469638
MLS Listing,,Single Family Residential,1051 67Th St,Oakland,CA,94608,899000,3,2.0,Nobe,1615,2500,1908,5,557,,Active,,,http://www.redfin.com/CA/Oakland/1051-67th-St-94608/home/1630651,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905155,N,Y,37.850079,-122.283435
MLS Listing,,Single Family Residential,6625 Hillmont Dr,OAKLAND,CA,94605,498000,2,2.0,OAKLAND,957,7400,1925,5,520,,Active,,,http://www.redfin.com/CA/Oakland/6625-Hillmont-Dr-94605/home/786998,MLSListings,ML81793589,N,Y,37.7757076,-122.170902
MLS Listing,,Single Family Residential,550 E 20Th St,Oakland,CA,94606,898000,3,2.5,Ivy Hill,1856,7520,1936,5,484,,Active,,,http://www.redfin.com/CA/Oakland/550-E-20th-St-94606/home/1962518,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40906000,N,Y,37.7991345,-122.2472647
MLS Listing,,Single Family Residential,8507 Thermal St,Oakland,CA,94605,789000,3,2.5,Toler Heights,1848,6500,1964,6,427,,Active,,,http://www.redfin.com/CA/Oakland/8507-Thermal-St-94605/home/1975338,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905964,N,Y,37.7603686,-122.1621206
MLS Listing,,Single Family Residential,15023 Costela St,San Leandro,CA,94579,750000,4,3.0,Washington Manor,1650,5600,1951,7,455,,Active,,,http://www.redfin.com/CA/San-Leandro/15023-Costela-St-94579/home/1438305,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905940,N,Y,37.6905594,-122.1569313
MLS Listing,,Single Family Residential,3300 35th Ave,Oakland,CA,94619,699000,3,2.0,Oakland,1662,9147,1926,7,421,,Active,,,http://www.redfin.com/CA/Oakland/3300-35th-Ave-94619/home/1702306,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905918,N,Y,37.7916031,-122.203759
MLS Listing,,Single Family Residential,1570 142nd Ave,SAN LEANDRO,CA,94578,675000,3,2.0,SAN LEANDRO,1489,6048,1942,8,453,,Active,,,http://www.redfin.com/CA/San-Leandro/1570-142nd-Ave-94578/home/734446,MLSListings,ML81793783,N,Y,37.714099,-122.1359942
MLS Listing,,Single Family Residential,133 Mecartney Rd,Alameda,CA,94502,895000,3,2.0,Alameda,1815,5775,1920,8,493,,Active,,,http://www.redfin.com/CA/Alameda/133-Mecartney-Rd-94502/home/1459959,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905849,N,Y,37.7347301,-122.2355866
MLS Listing,,Single Family Residential,8239 Golf Links Rd,Oakland,CA,94605-3536,850888,4,2.0,East Oakland,2064,8396,1941,8,412,,Active,,,http://www.redfin.com/CA/Oakland/8239-Golf-Links-Rd-94605/home/1422808,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905838,N,Y,37.7624014,-122.1634068
MLS Listing,,Single Family Residential,2975 Cesar Chavez,San Francisco,CA,94110,879000,3,2.0,Bernal Heights,1500,2002,1916,8,586,,Active,,,http://www.redfin.com/CA/San-Francisco/2975-Cesar-Chavez-94110/home/1231917,San Francisco MLS,495413,N,Y,37.7481301,-122.409255
MLS Listing,,Single Family Residential,1522 Felton St,San Francisco,CA,94134,855000,3,2.0,Portola,1396,3000,1947,9,612,,Active,,,http://www.redfin.com/CA/San-Francisco/1522-Felton-St-94134/home/1543739,San Francisco MLS,498618,N,Y,37.7262326,-122.4199372
MLS Listing,,Single Family Residential,16067 Via Toledo,San Lorenzo,CA,94580,725000,3,2.0,San Lorenzo Vilg,1434,5005,1951,9,506,10,Active,,,http://www.redfin.com/CA/San-Lorenzo/16067-Via-Toledo-94580/home/1751162,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905760,N,Y,37.6814115,-122.1206214
MLS Listing,,Single Family Residential,9411 Castlewood St,Oakland,CA,94605,899000,2,2.0,Castlewood,1549,7000,1948,9,580,,Active,,,http://www.redfin.com/CA/Oakland/9411-Castlewood-St-94605/home/843944,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905714,N,Y,37.7560687,-122.1527176
MLS Listing,,Single Family Residential,252 Florida Ave,SAN BRUNO,CA,94066,799000,2,2.0,SAN BRUNO,840,1575,1948,9,951,,Active,,,http://www.redfin.com/CA/San-Bruno/252-Florida-Ave-94066/home/642430,MLSListings,ML81793570,N,Y,37.6223473,-122.4088423
MLS Listing,,Single Family Residential,3200 Guido St,Oakland,CA,94602,899000,3,2.0,Redwood Heights,1244,13925,1919,9,723,,Active,,,http://www.redfin.com/CA/Oakland/3200-Guido-St-94602/home/542669,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905687,Y,Y,37.8041754,-122.1927191
MLS Listing,,Single Family Residential,3044 El Monte Ave,Oakland,CA,94605,849950,3,3.0,King Estates,1827,5546,1952,9,465,,Active,,,http://www.redfin.com/CA/Oakland/3044-El-Monte-Ave-94605/home/1363379,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905685,Y,Y,37.764511,-122.1589273
MLS Listing,,Single Family Residential,2624 INYO Ave,Oakland,CA,94601-1324,875000,4,2.5,Meadowbrook,1890,3750,2020,9,463,,Active,,,http://www.redfin.com/CA/Oakland/2624-Inyo-Ave-94601/home/22718575,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905676,N,Y,37.792353,-122.226617
